OBJECTID;STORAGE_UNIT_NAME;ASSESS_UNIT_TYPE;STORAGE_TYPE;GROSS_THICK_MEAN;DEPTH_MEAN;PRESSURE_MEAN;TEMP_C_MEAN;PERM_MEAN;CO2_DENSIT;TOTAL_STORE_CAP;COUNTRYCODE;LONG;LAT;ONSHORE
459;Collyhurst Sandstone Unit 1;Saline Aquifer without hydrocarbon fields;0;363;1700;1700;66;20;700;2141.463324;GB;-3.495559357;53.64289201;0
479;Brent Group;Saline Aquifer with hydrocarbon fields;1;180;2500;400;95;300;700;2754.10791;GB;1.351733828;61.11119112;0
487;Findhorn Formation;Saline Aquifer without hydrocarbon fields;0;500;3000;330;113;10;600;4741.74;GB;-1.924529913;58.32562071;0
457;Maureen Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;55;2500;258;95;100;700;4828.123075;GB;0.799728696;58.21578367;0
492;Skagerrak Unit 1;Saline Aquifer with hydrocarbon fields;1;400;3250;348;122;10;700;5265.988;GB;1.622149179;57.34975132;0
132;Prinos Sand;Saline Aquifer with hydrocarbon fields;1;260;2400;310;110;50;724.77;6317.556896;GR;24.34388889;40.65166667;0
464;Plattendolomit Unit;Saline Aquifer with hydrocarbon fields;1;120;2000;206;78;20;700;5492.7872;GB;0.944759993;57.34051093;0
470;Dornoch Formation;Saline Aquifer without hydrocarbon fields;0;300;1400;140;57;150;600;8036.7876;GB;0.117677473;58.78460253;0
475;Auk Formation Unit;Saline Aquifer with hydrocarbon fields;1;150;2000;214;78;1;630;8856.097658;GB;1.449268638;57.43753242;0
463;St Bees Sandstone  Unit;Saline Aquifer without hydrocarbon fields;0;885;1435;153;79;5;725;11099.42404;GB;-3.783000562;54.04912548;0
442;Heimdal Sandstone Unit;Saline Aquifer without hydrocarbon fields;0;491.64;1422;146;58;200;600;12220.08093;GB;1.390369946;59.74385612;0
439;Bunter Sandstone Formation;Saline Aquifer with hydrocarbon fields;1;150;1535;158;60;20;600;13293.9144;GB;1.270767238;54.01255983;0
516;Fulmar Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;250;3000;372;140;200;700;13693.05;GB;1.584463885;56.95215819;0
446;Mousa Formation;Saline Aquifer without hydrocarbon fields;0;250;700;72;32;1000;600;14613.75;GB;0.131075992;58.50572513;0
472;Cormorant Formation;Saline Aquifer without hydrocarbon fields;0;650;3400;774;135;40;857;16360.99166;;1.207222222;60.45638889;0
469;Mey Sandstone Unit;Saline Aquifer with hydrocarbon fields;1;238;2300;237;88;500;700;21854.58985;GB;0.510038306;57.90680973;0
444;Forties Sandstone Member;Saline Aquifer with hydrocarbon fields;1;80;2000;203;38;100;700;26453.71952;GB;1.333267017;57.40650906;0
81;Skagerrak Formation unit 1;Saline Aquifer without hydrocarbon fields;0;300;1500;12;41;100;641;36636.56525;DK;8.311394;57.438222;0
